trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,16.69885855,17.68172706,17.69147706,down,1,6.231855069,4,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
1,0,1,0,23.93573983,24.93236387,24.95013361,down,1,0.524138037,-5,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
2,0,2,0,25.48617273,26.48284437,26.49913111,up,1,0.299840724,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
3,0,3,0,26.80050634,27.79972538,27.81732224,up,1,0.429800119,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
4,0,4,0,28.24909082,29.24971459,29.24971459,down,1,0.299143442,4,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
5,0,5,0,29.56748923,30.56881701,30.56881701,up,1,0.33249604,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
6,0,6,0,30.93397874,31.93243313,31.93243313,up,0,0.368395771,-2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
7,0,7,0,32.3190794,33.31638041,33.33283425,down,0,0.39631203,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
8,0,8,0,33.73282625,34.73322256,34.73322256,up,1,0.281519717,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
9,0,9,0,35.03392511,36.0324809,36.0324809,up,1,0.310590931,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
10,0,10,0,36.36697477,37.3667538,37.3667538,up,1,0.380710273,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
11,0,11,0,37.76827749,38.76651822,38.7830496,down,0,0.492320776,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
12,0,12,0,39.28213658,40.2828896,40.2828896,down,0,0.324401141,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
13,0,13,0,40.63283248,41.63300476,41.63300476,up,1,0.355418073,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
14,0,14,0,42.0155727,42.99889725,43.01666152,up,0,0.333808274,-5,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
15,0,15,0,43.35168793,44.34873152,44.36693222,up,0,0.301694659,2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
16,0,16,0,44.66878793,45.66764632,45.66764632,up,0,0.42960181,1,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
17,0,17,0,46.12026704,47.11807352,47.13335879,up,0,3.315323318,-2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
18,0,18,0,50.45394905,51.44954357,51.46565526,up,1,0.363222,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
